addr,lease_commence_date
JLN MEMBINA,2008
LENGKOK BAHRU,1986
CANTONMENT CL,2003
MOH GUAN TER,1973
DEPOT RD,2006
DELTA AVE,1985
HOY FATT RD,1987
BOON TIONG RD,2005
REDHILL LANE,1996
REDHILL RD,2007
SPOTTISWOODE PK RD,1979
KIM TIAN RD,2002
KIM TIAN PL,1984
GANGSA RD,1987
PENDING RD,1988
PETIR RD,1988
SEGAR RD,2002
BT PANJANG RING RD,1988
JELAPANG RD,1998
BANGKIT RD,1988
SENJA RD,2002
LOMPANG RD,2001
SENJA LINK,2001
FAJAR RD,1989
SAUJANA RD,1989
JELEBU RD,2003
TOH YI DR,1988
ROWELL RD,1984
CHANDER RD,1984
TG PAGAR PLAZA,1977
QUEEN ST,1979
KLANG LANE,2003
UPP CROSS ST,1980
CHIN SWEE RD,1974
WATERLOO ST,1978
BAIN ST,1980
TECK WHYE LANE,1979
TECK WHYE AVE,1984
CHOA CHU KANG AVE 4,1997
CHOA CHU KANG CRES,2002
CHOA CHU KANG AVE 3,1999
JLN TECK WHYE,1998
CHOA CHU KANG AVE 5,1999
CHOA CHU KANG ST 51,1994
CHOA CHU KANG AVE 2,1999
CHOA CHU KANG CTRL,1989
CHOA CHU KANG NTH 7,1996
CHOA CHU KANG AVE 1,1993
CHOA CHU KANG ST 62,1996
CHOA CHU KANG NTH 5,1996
CHOA CHU KANG ST 54,1996
CHOA CHU KANG ST 52,1995
CHOA CHU KANG NTH 6,1996
CHOA CHU KANG LOOP,1993
CLEMENTI AVE 5,1979
WEST COAST RD,1980
CLEMENTI WEST ST 2,1981
CLEMENTI WEST ST 1,1979
WEST COAST DR,1978
CLEMENTI AVE 4,1980
CLEMENTI AVE 2,1978
CLEMENTI AVE 3,1978
CLEMENTI ST 13,1984
C'WEALTH AVE WEST,1978
CLEMENTI ST 14,1984
BALAM RD,1973
CIRCUIT RD,1971
PAYA LEBAR WAY,1972
EUNOS CRES,1982
UBI AVE 1,1985
SIMS DR,1981
ALJUNIED CRES,1978
HAIG RD,1982
JLN DUA,1969
SIMS PL,1977
PINE CL,1981
CASSIA CRES,1983
GEYLANG EAST AVE 1,1984
JLN TIGA,2005
HOUGANG AVE 8,1989
HOUGANG ST 22,1984
HOUGANG AVE 1,1982
HOUGANG AVE 7,1983
HOUGANG AVE 5,1983
HOUGANG AVE 3,1978
HOUGANG ST 61,1987
HOUGANG AVE 4,1987
HOUGANG AVE 10,1985
HOUGANG AVE 2,1985
HOUGANG AVE 6,1987
HOUGANG ST 91,1997
HOUGANG AVE 9,1999
LOR AH SOO,1985
BUANGKOK LINK,2004
BUANGKOK CRES,2004
HOUGANG ST 51,1997
HOUGANG ST 31,1999
HOUGANG ST 52,1999
HOUGANG ST 21,1984
JURONG EAST ST 24,1983
JURONG EAST ST 32,1983
JURONG EAST AVE 1,1983
TEBAN GDNS RD,1986
JURONG EAST ST 21,1982
JURONG EAST ST 13,1983
PANDAN GDNS,1978
JURONG EAST ST 31,1984
TOH GUAN RD,1999
JURONG WEST ST 93,2008
BOON LAY AVE,1978
BOON LAY PL,1974
JURONG WEST ST 41,1986
HO CHING RD,1970
JURONG WEST ST 42,1985
JURONG WEST ST 52,1982
JURONG WEST AVE 1,1984
JURONG WEST ST 91,1988
JURONG WEST ST 51,1986
JURONG WEST ST 92,1989
JURONG WEST ST 81,1990
JURONG WEST ST 73,1993
JURONG WEST AVE 5,1989
JURONG WEST AVE 3,2001
JURONG WEST ST 71,1991
JURONG WEST ST 65,2000
JURONG WEST ST 61,2002
BOON LAY DR,1976
YUNG LOH RD,1996
JURONG WEST ST 64,2000
JURONG WEST ST 74,1996
KANG CHING RD,1997
JURONG WEST ST 62,2001
JURONG WEST ST 24,2003
CORPORATION DR,1997
TAH CHING RD,1997
JURONG WEST ST 25,2002
YUNG AN RD,1995
JURONG WEST CTRL 1,1998
JURONG WEST ST 75,1995
YUNG PING RD,1997
YUNG HO RD,1990
JLN BAHAGIA,1971
WHAMPOA DR,1974
ST. GEORGE'S RD,1976
BENDEMEER RD,1981
GEYLANG BAHRU,1974
LOR LIMAU,1973
JLN BATU,1969
KALLANG BAHRU,1974
FRENCH RD,1979
KING GEORGE'S AVE,1981
WHAMPOA WEST,1972
ST. GEORGE'S LANE,1982
JLN DUSUN,1981
MCNAIR RD,1987
KENT RD,1982
JLN TENTERAM,2002
RACE COURSE RD,1986
FARRER PK RD,2004
BOON KENG RD,1996
UPP BOON KENG RD,2006
JLN RAJAH,1984
JELLICOE RD,2003
MARINE DR,1976
MARINE TER,1975
MARINE CRES,1975
CHANGI VILLAGE RD,1981
PASIR RIS ST 21,1993
PASIR RIS ST 12,1989
PASIR RIS DR 6,1988
PASIR RIS ST 11,1994
PASIR RIS ST 71,1996
PASIR RIS ST 72,1996
PASIR RIS DR 4,1992
PASIR RIS ST 51,1993
PASIR RIS ST 52,1993
PASIR RIS DR 1,1995
PASIR RIS ST 53,1995
PASIR RIS ST 13,1995
PASIR RIS DR 3,1995
ELIAS RD,1995
EDGEDALE PLAINS,2003
PUNGGOL FIELD,2002
EDGEFIELD PLAINS,2003
PUNGGOL CTRL,2003
PUNGGOL DR,2007
PUNGGOL RD,2007
PUNGGOL FIELD WALK,2003
TANGLIN HALT RD,1970
C'WEALTH CRES,1970
C'WEALTH DR,1967
C'WEALTH CL,1967
HOLLAND DR,1975
STIRLING RD,1970
DOVER CRES,1978
HOLLAND CL,1974
MEI LING ST,1970
GHIM MOH RD,1977
QUEEN'S CL,1973
HOLLAND AVE,1975
STRATHMORE AVE,2000
CLARENCE LANE,1996
SEMBAWANG DR,2001
ADMIRALTY LINK,2001
SEMBAWANG CRES,1999
ADMIRALTY DR,2001
MONTREAL DR,2002
WELLINGTON CIRCLE,2004
CANBERRA RD,1998
SEMBAWANG CL,1999
SEMBAWANG VISTA,1999
RIVERVALE DR,2000
RIVERVALE CRES,2000
RIVERVALE ST,1999
COMPASSVALE ST,2001
ANCHORVALE LINK,2001
RIVERVALE WALK,1998
COMPASSVALE DR,2001
ANCHORVALE LANE,2002
COMPASSVALE RD,2001
ANCHORVALE RD,2002
COMPASSVALE WALK,1999
COMPASSVALE LANE,2005
FERNVALE LINK,2004
FERNVALE RD,2004
FERNVALE LANE,2004
COMPASSVALE BOW,2007
SENGKANG EAST WAY,2000
COMPASSVALE LINK,2008
ANCHORVALE DR,2002
SENGKANG EAST RD,2001
LOR LEW LIAN,1978
SERANGOON NTH AVE 1,1986
SERANGOON AVE 4,1985
SERANGOON CTRL,1985
SERANGOON NTH AVE 3,1998
SERANGOON NTH AVE 4,1992
SERANGOON AVE 3,1986
SERANGOON AVE 2,1985
SERANGOON AVE 1,1988
SERANGOON CTRL DR,1999
TAMPINES ST 21,1983
TAMPINES ST 41,1985
TAMPINES ST 81,1987
TAMPINES ST 42,1987
TAMPINES ST 43,1987
TAMPINES ST 23,1985
TAMPINES ST 83,1987
TAMPINES AVE 4,1984
TAMPINES ST 22,1984
TAMPINES ST 84,1988
TAMPINES ST 11,1982
TAMPINES ST 82,1985
TAMPINES ST 44,1985
TAMPINES ST 34,1997
TAMPINES ST 33,1995
SIMEI ST 1,1988
TAMPINES ST 45,1989
TAMPINES ST 91,1984
TAMPINES AVE 8,1997
TAMPINES ST 72,1997
TAMPINES ST 71,1997
TAMPINES ST 32,1993
SIMEI RD,1989
TAMPINES ST 12,1984
TAMPINES AVE 9,1989
TAMPINES CTRL 1,1989
TAMPINES ST 24,1993
TAMPINES AVE 7,1994
TAMPINES AVE 5,1987
SIMEI ST 4,1988
LOR 5 TOA PAYOH,1967
UPP ALJUNIED LANE,1968
KIM KEAT AVE,1973
LOR 6 TOA PAYOH,1983
POTONG PASIR AVE 1,1984
LOR 7 TOA PAYOH,1969
LOR 8 TOA PAYOH,1976
LOR 4 TOA PAYOH,1973
TOA PAYOH EAST,1971
LOR 1 TOA PAYOH,1970
TOA PAYOH NTH,1982
LOR 2 TOA PAYOH,1970
POTONG PASIR AVE 2,1984
JOO SENG RD,1983
TOA PAYOH CTRL,1972
KIM KEAT LINK,1988
MARSILING LANE,1987
MARSILING DR,1977
MARSILING RISE,1985
MARSILING CRES,1982
WOODLANDS ST 13,1985
WOODLANDS ST 82,1995
WOODLANDS ST 31,1993
WOODLANDS ST 83,1993
WOODLANDS DR 16,2001
WOODLANDS ST 41,1996
WOODLANDS CRES,1998
WOODLANDS AVE 1,1989
WOODLANDS AVE 3,1988
WOODLANDS ST 11,1986
WOODLANDS ST 32,1994
WOODLANDS DR 14,1999
WOODLANDS DR 52,1998
WOODLANDS CIRCLE,1998
WOODLANDS AVE 4,1998
WOODLANDS DR 53,1999
WOODLANDS DR 60,1997
WOODLANDS RING RD,1998
WOODLANDS DR 40,1996
WOODLANDS AVE 6,1997
WOODLANDS DR 70,1997
WOODLANDS DR 44,2000
MARSILING RD,1985
WOODLANDS DR 75,2004
WOODLANDS DR 50,1996
WOODLANDS DR 62,2000
WOODLANDS AVE 9,1996
WOODLANDS DR 73,2003
WOODLANDS ST 81,1996
WOODLANDS DR 71,2000
WOODLANDS DR 42,1997
YISHUN ST 22,1985
YISHUN RING RD,1982
YISHUN ST 11,1984
YISHUN ST 61,1992
YISHUN AVE 6,1988
YISHUN ST 21,1985
YISHUN CTRL,1988
YISHUN ST 72,1984
YISHUN AVE 5,1984
YISHUN ST 71,1985
YISHUN AVE 11,1988
YISHUN AVE 4,1988
YISHUN AVE 9,1985
YISHUN ST 81,1987
YISHUN AVE 7,1987
YISHUN AVE 2,1989
YISHUN AVE 3,1985
YISHUN ST 20,2000
SIN MING RD,1973
BRIGHT HILL DR,1990
BT BATOK ST 11,1998
JLN BT HO SWEE,1971
JLN KLINIK,1969
BEO CRES,1971
LIM LIAK ST,1973
REDHILL CL,2001
ZION RD,1974
JLN KUKOH,1971
BUFFALO RD,1982
CHOA CHU KANG ST 53,1995
CHOA CHU KANG DR,2002
CHOA CHU KANG ST 64,1998
CLEMENTI AVE 6,1985
OLD AIRPORT RD,1969
JOO CHIAT RD,1985
EUNOS RD 5,1984
DAKOTA CRES,1983
HOUGANG ST 11,1984
HOUGANG ST 92,1998
YUAN CHING RD,1974
TAO CHING RD,1971
JURONG WEST ST 72,1990
OWEN RD,1979
BEACH RD,1979
GLOUCESTER RD,1976
CAMBRIDGE RD,1982
LOR 3 GEYLANG,1989
TOWNER RD,1983
AH HOOD RD,1981
PASIR RIS DR 10,1996
PASIR RIS ST 41,1992
C'WEALTH AVE,1996
DOVER CL EAST,1978
CANBERRA LINK,2001
COMPASSVALE CRES,2002
SENGKANG CTRL,2010
SIMEI ST 2,1989
POTONG PASIR AVE 3,1984
WOODLANDS CTR RD,1981
WOODLANDS AVE 5,1996
BT BATOK WEST AVE 7,1993
LOWER DELTA RD,1970
INDUS RD,1973
CASHEW RD,1988
QUEEN'S RD,1974
FARRER RD,1974
VEERASAMY RD,1985
SELEGIE RD,1974
SAGO LANE,1974
KELANTAN RD,1977
SMITH ST,1984
PIPIT RD,1985
SIMS AVE,1985
HOUGANG CTRL,1992
YUNG SHENG RD,2001
NTH BRIDGE RD,1979
TESSENSOHN RD,1986
MOULMEIN RD,1972
WHAMPOA RD,1994
LOR 3 TOA PAYOH,1970
WOODLANDS DR 72,1998
YISHUN CTRL 1,1993
JLN BERSEH,1979
KRETA AYER RD,1981
MACPHERSON LANE,1968
GEYLANG EAST CTRL,1982
DORSET RD,1979
CRAWFORD LANE,1982
JLN MA'MOR,1972
DOVER RD,1975
SIMEI ST 5,1997
TIONG BAHRU RD,1973
KIM CHENG ST,1973
CLEMENTI ST 11,1984
PUNGGOL EAST,2009
SERANGOON NTH AVE 2,1986
ANG MO KIO ST 11,1996
WHAMPOA STH,1974
QUEENSWAY,1974
EMPRESS RD,1976
SILAT AVE,1982
NEW MKT RD,1983
CLEMENTI ST 12,1984
KG KAYU RD,1984
MARINE PARADE CTRL,1978
SENG POH RD,1973
BT MERAH CTRL,1980
ANG MO KIO AVE 2,1982
UPP SERANGOON RD,1992
KG ARANG RD,1982
ALJUNIED RD,1983
KIM PONG RD,1974
BT MERAH LANE 1,1979
TAMPINES CTRL 7,2008
SENGKANG WEST AVE,2011
PUNGGOL PL,2011
CANTONMENT RD,2011
