addr,lease_commence_date
CASHEW RD,1988
JELEBU RD,2003
TOH YI DR,1988
FARRER RD,1974
UPP CROSS ST,1975
TG PAGAR PLAZA,1977
CHIN SWEE RD,1974
CANTONMENT RD,2011
TECK WHYE AVE,1984
TECK WHYE LANE,1979
CHOA CHU KANG AVE 4,2000
CHOA CHU KANG CTRL,1989
CHOA CHU KANG CRES,2003
CHOA CHU KANG AVE 2,1990
CHOA CHU KANG AVE 3,1992
CHOA CHU KANG DR,2002
CHOA CHU KANG AVE 5,1999
JLN TECK WHYE,1998
CHOA CHU KANG AVE 1,1989
CHOA CHU KANG ST 62,1996
CHOA CHU KANG NTH 6,1997
CHOA CHU KANG NTH 5,1996
CHOA CHU KANG ST 51,1995
CHOA CHU KANG ST 64,1998
WEST COAST RD,1980
CLEMENTI AVE 5,1979
CLEMENTI AVE 2,1979
CLEMENTI WEST ST 1,1979
CLEMENTI AVE 3,1978
CLEMENTI AVE 4,1979
CLEMENTI WEST ST 2,1983
WEST COAST DR,1978
MACPHERSON LANE,1968
CIRCUIT RD,1971
ALJUNIED CRES,1986
BALAM RD,1967
PAYA LEBAR WAY,1972
EUNOS CRES,1977
HAIG RD,1976
GEYLANG EAST AVE 1,1983
SIMS DR,1977
CASSIA CRES,1981
UBI AVE 1,1989
ALJUNIED RD,1983
PINE CL,2000
JLN TIGA,2005
HOUGANG AVE 3,1978
HOUGANG AVE 6,1986
HOUGANG AVE 5,1983
HOUGANG AVE 1,1982
HOUGANG AVE 7,1983
HOUGANG ST 22,1984
HOUGANG AVE 8,1987
HOUGANG AVE 10,1985
HOUGANG ST 11,1984
LOR AH SOO,1984
HOUGANG ST 92,1998
HOUGANG ST 61,1987
HOUGANG AVE 4,1985
HOUGANG ST 91,1999
HOUGANG ST 51,1992
HOUGANG ST 52,1998
HOUGANG AVE 9,1998
HOUGANG ST 21,1992
HOUGANG CTRL,1997
HOUGANG AVE 2,1986
TEBAN GDNS RD,1977
JURONG EAST ST 24,1983
JURONG EAST ST 21,1981
JURONG EAST ST 13,1982
JURONG EAST ST 32,1983
PANDAN GDNS,1979
JURONG EAST ST 31,1984
TOH GUAN RD,1998
BOON LAY AVE,1975
BOON LAY PL,1977
JURONG WEST ST 41,1986
HO CHING RD,1972
JURONG WEST ST 51,1986
JURONG WEST AVE 1,1985
JURONG WEST ST 91,1988
JURONG WEST ST 25,2002
KANG CHING RD,2012
TAH CHING RD,2010
JURONG WEST AVE 3,2001
JURONG WEST ST 81,1993
JURONG WEST ST 42,1985
JURONG WEST ST 73,1990
JURONG WEST ST 61,2002
JURONG WEST ST 71,1991
JURONG WEST AVE 5,1989
JURONG WEST ST 65,2002
YUNG LOH RD,1996
JURONG WEST ST 74,1996
JURONG WEST ST 64,2008
JURONG WEST ST 92,1988
YUNG SHENG RD,2001
BOON LAY DR,2002
JURONG WEST CTRL 1,2000
JURONG WEST ST 75,1995
JURONG WEST ST 52,1984
CORPORATION DR,1997
JURONG WEST ST 93,2008
YUNG AN RD,1995
JLN BAHAGIA,1971
GEYLANG BAHRU,1979
JLN BATU,1969
KALLANG BAHRU,1981
UPP BOON KENG RD,1974
RACE COURSE RD,1986
WHAMPOA STH,1974
GLOUCESTER RD,1976
BEACH RD,1979
WHAMPOA DR,1974
BENDEMEER RD,1972
ST. GEORGE'S RD,1985
JLN DUSUN,1981
JLN TENTERAM,2001
BOON KENG RD,1996
FARRER PK RD,2004
MCNAIR RD,1987
AH HOOD RD,1981
WHAMPOA RD,1995
CRAWFORD LANE,1981
JLN RAJAH,1984
MARINE TER,1975
MARINE DR,1977
MARINE CRES,1975
CHANGI VILLAGE RD,1981
PASIR RIS ST 21,1993
PASIR RIS DR 3,1995
PASIR RIS DR 6,1989
PASIR RIS DR 10,1996
PASIR RIS ST 11,1989
PASIR RIS ST 71,1996
PASIR RIS DR 1,1995
PASIR RIS DR 4,1992
PASIR RIS ST 52,1993
PASIR RIS ST 51,1993
PASIR RIS ST 53,1995
PASIR RIS ST 12,1993
ELIAS RD,1996
PASIR RIS ST 72,1996
EDGEDALE PLAINS,2003
PUNGGOL FIELD,2003
PUNGGOL CTRL,2005
PUNGGOL DR,2005
PUNGGOL PL,2011
EDGEFIELD PLAINS,2003
STIRLING RD,1970
C'WEALTH CL,1967
C'WEALTH CRES,1970
C'WEALTH DR,1967
DOVER CRES,1976
GHIM MOH RD,1976
HOLLAND AVE,1974
HOLLAND DR,1975
DOVER RD,1975
MEI LING ST,1970
QUEENSWAY,1974
STRATHMORE AVE,2011
HOLLAND CL,1997
TANGLIN HALT RD,2008
ADMIRALTY LINK,2004
SEMBAWANG DR,2000
MONTREAL DR,2002
ADMIRALTY DR,2001
WELLINGTON CIRCLE,2001
SEMBAWANG CL,1999
SEMBAWANG VISTA,1999
CANBERRA RD,1998
ANCHORVALE LINK,2007
RIVERVALE CRES,2003
RIVERVALE ST,1999
COMPASSVALE CRES,2001
COMPASSVALE LANE,2011
RIVERVALE DR,1999
COMPASSVALE WALK,1999
ANCHORVALE DR,2002
SENGKANG EAST WAY,2000
SENGKANG EAST RD,2001
FERNVALE LINK,2004
COMPASSVALE DR,2001
RIVERVALE WALK,1998
FERNVALE RD,2004
COMPASSVALE RD,2000
SENGKANG WEST AVE,2011
COMPASSVALE ST,2002
COMPASSVALE BOW,2008
SENGKANG CTRL,2010
COMPASSVALE LINK,2008
SERANGOON NTH AVE 1,1986
SERANGOON AVE 4,1984
SERANGOON CTRL,1985
SERANGOON CTRL DR,1988
SERANGOON NTH AVE 4,1992
SERANGOON AVE 2,1985
SERANGOON NTH AVE 3,1998
SERANGOON AVE 3,1986
SERANGOON AVE 1,1988
TAMPINES ST 43,1985
TAMPINES ST 22,1984
TAMPINES ST 81,1984
TAMPINES ST 83,1987
TAMPINES ST 44,1987
TAMPINES ST 42,1985
TAMPINES ST 41,1985
TAMPINES AVE 4,1984
TAMPINES ST 11,1984
TAMPINES ST 21,1984
TAMPINES ST 23,1985
TAMPINES ST 12,1984
SIMEI ST 1,1988
TAMPINES ST 34,1997
TAMPINES AVE 8,1988
TAMPINES ST 82,1986
TAMPINES ST 33,1996
TAMPINES ST 84,1989
TAMPINES ST 45,1993
TAMPINES ST 71,1997
SIMEI ST 4,1989
TAMPINES ST 91,1983
TAMPINES ST 24,1985
TAMPINES ST 72,1997
TAMPINES ST 32,1993
TAMPINES CTRL 7,2008
SIMEI RD,1989
LOR 2 TOA PAYOH,1968
KIM KEAT AVE,1973
UPP ALJUNIED LANE,1968
LOR 1 TOA PAYOH,1967
LOR 6 TOA PAYOH,1983
LOR 5 TOA PAYOH,1970
LOR 7 TOA PAYOH,1969
TOA PAYOH EAST,1971
LOR 3 TOA PAYOH,1970
LOR 4 TOA PAYOH,1972
TOA PAYOH CTRL,1972
LOR 8 TOA PAYOH,1976
POTONG PASIR AVE 2,1984
POTONG PASIR AVE 1,1984
JOO SENG RD,1983
KIM KEAT LINK,1989
MARSILING RISE,1985
MARSILING DR,1977
WOODLANDS ST 31,1993
WOODLANDS ST 41,1996
WOODLANDS DR 16,2000
WOODLANDS ST 83,1990
WOODLANDS ST 82,1994
WOODLANDS CIRCLE,1998
WOODLANDS DR 60,1997
WOODLANDS ST 13,1989
WOODLANDS CRES,1997
WOODLANDS ST 81,1996
WOODLANDS AVE 6,1998
WOODLANDS DR 40,1996
WOODLANDS DR 52,1998
WOODLANDS DR 70,1997
WOODLANDS DR 44,2000
WOODLANDS DR 50,1997
WOODLANDS DR 53,1999
WOODLANDS DR 42,1997
WOODLANDS DR 62,2000
WOODLANDS RING RD,1998
WOODLANDS AVE 1,1996
WOODLANDS ST 11,1986
WOODLANDS DR 14,1999
WOODLANDS DR 75,2004
WOODLANDS AVE 5,1996
WOODLANDS ST 32,1994
YISHUN RING RD,1982
YISHUN AVE 5,1984
YISHUN AVE 6,1987
YISHUN ST 22,1986
YISHUN AVE 11,1988
YISHUN CTRL,1988
YISHUN AVE 2,1987
YISHUN AVE 4,1989
YISHUN ST 21,1985
YISHUN AVE 3,1985
YISHUN AVE 9,1985
YISHUN ST 11,1985
YISHUN ST 61,1987
YISHUN ST 72,1985
YISHUN ST 81,1988
ANG MO KIO ST 32,2001
BEDOK NTH ST 4,1978
BT BATOK WEST AVE 7,1993
JLN RUMAH TINGGI,1969
TELOK BLANGAH WAY,1976
TELOK BLANGAH RISE,1976
HENDERSON CRES,1975
BT PURMEI RD,1984
SPOTTISWOODE PK RD,1979
TIONG BAHRU RD,1973
LOMPANG RD,2001
SELEGIE RD,1974
KELANTAN RD,1981
KRETA AYER RD,1981
CHOA CHU KANG ST 53,1995
CLEMENTI AVE 6,1984
CLEMENTI ST 13,1984
SIMS PL,1981
EUNOS RD 5,1992
SIMS AVE,1985
BUANGKOK CRES,2004
HOUGANG ST 31,1999
JURONG EAST AVE 1,1983
JURONG WEST ST 24,2003
YUNG PING RD,1996
LOR LIMAU,1973
TOWNER RD,1983
NTH BRIDGE RD,1979
DORSET RD,1979
KG ARANG RD,1984
ST. GEORGE'S LANE,1996
PASIR RIS ST 13,1995
PUNGGOL FIELD WALK,2003
PUNGGOL EAST,2009
QUEEN'S CL,1973
C'WEALTH AVE,1996
CLARENCE LANE,1996
DOVER CL EAST,1978
ANCHORVALE RD,2002
ANCHORVALE LANE,2002
FERNVALE LANE,2004
LOR LEW LIAN,1978
SERANGOON NTH AVE 2,1989
TAMPINES AVE 5,1988
TAMPINES AVE 7,1994
TAMPINES CTRL 1,1989
SIMEI ST 5,1997
MARSILING LANE,1984
WOODLANDS AVE 4,1998
WOODLANDS DR 73,2000
WOODLANDS DR 72,1997
MARSILING RD,1995
YISHUN ST 71,1987
YISHUN ST 20,2000
ANG MO KIO AVE 9,1993
ANG MO KIO AVE 2,1982
CHAI CHEE DR,1982
SIN MING RD,1973
MOH GUAN TER,1973
BT MERAH CTRL,1977
QUEEN'S RD,1974
EMPRESS RD,1976
JLN KUKOH,1971
VEERASAMY RD,1985
KLANG LANE,2003
WATERLOO ST,1986
CHOA CHU KANG ST 52,1994
CHOA CHU KANG LOOP,1993
CHOA CHU KANG ST 54,1996
CHOA CHU KANG NTH 7,1996
CLEMENTI ST 12,1984
C'WEALTH AVE WEST,1978
GEYLANG EAST CTRL,1982
GEYLANG SERAI,2011
PIPIT RD,1986
YUAN CHING RD,1974
JURONG WEST ST 72,1990
JURONG WEST ST 62,2001
KG KAYU RD,1984
WHAMPOA WEST,1972
CAMBRIDGE RD,1997
JLN MA'MOR,1972
PUNGGOL RD,2007
SEMBAWANG CRES,1999
SEMBAWANG WAY,2002
TAMPINES AVE 9,1993
SIMEI ST 2,1988
TOA PAYOH NTH,1973
JLN DAMAI,1996
BT BATOK ST 22,1997
DELTA AVE,1983
QUEEN ST,1979
DAKOTA CRES,1983
BUANGKOK LINK,2004
UPP SERANGOON RD,1992
KING GEORGE'S AVE,1981
LOR 3 GEYLANG,1989
JELLICOE RD,2003
PASIR RIS ST 41,1992
WOODLANDS AVE 3,1988
WOODLANDS DR 71,2000
TAMAN HO SWEE,1970
EVERTON PK,1980
ROWELL RD,1984
SMITH ST,1984
CLEMENTI ST 14,1984
YUNG HO RD,1991
KENT RD,1982
POTONG PASIR AVE 3,1984
YISHUN AVE 7,1986
BISHAN ST 11,1987
INDUS RD,1982
SAGO LANE,1974
NEW MKT RD,1983
CHANDER RD,1984
OLD AIRPORT RD,1969
WOODLANDS AVE 9,1996
KIM PONG RD,1974
BUFFALO RD,1982
CANBERRA LINK,2001
BAIN ST,1980
JLN DUA,1969
OWEN RD,1982
TESSENSOHN RD,1986
GHIM MOH LINK,2013
MARSILING CRES,1986
ANG MO KIO ST 11,1996
SILAT AVE,1982
KIM CHENG ST,1973
MOULMEIN RD,1972
CLEMENTI ST 11,1984
YISHUN CTRL 1,1993
JLN BERSEH,1979
FRENCH RD,1979
BT MERAH LANE 1,1979
SIMEI LANE,2011
JOO CHIAT RD,1985
TAO CHING RD,1971
CLEMENTI AVE 1,2013
YISHUN ST 41,2013
TELOK BLANGAH ST 31,2013
ZION RD,1974
JLN KAYU,2013
LOR 1A TOA PAYOH,2012
PUNGGOL WALK,2014
SENGKANG WEST WAY,2014
