addr,lease_commence_date
TAMPINES ST 43,1986
TAMPINES ST 44,1986
TAMPINES ST 45,1989
TAMPINES ST 81,1984
TAMPINES ST 82,1985
TAMPINES ST 83,1985
TAMPINES ST 84,1988
TAMPINES ST 91,1983
JOO SENG RD,1983
KIM KEAT AVE,1973
KIM KEAT LINK,1989
LOR 1 TOA PAYOH,1967
LOR 2 TOA PAYOH,1968
LOR 3 TOA PAYOH,1970
LOR 4 TOA PAYOH,1967
LOR 5 TOA PAYOH,1970
LOR 6 TOA PAYOH,1983
LOR 7 TOA PAYOH,1969
LOR 8 TOA PAYOH,1976
POTONG PASIR AVE 1,1984
POTONG PASIR AVE 2,1984
POTONG PASIR AVE 3,1984
TOA PAYOH CTRL,1972
TOA PAYOH EAST,1970
TOA PAYOH NTH,1973
UPP ALJUNIED LANE,1968
MARSILING DR,1979
MARSILING LANE,1976
MARSILING RD,1995
MARSILING RISE,1995
WOODLANDS AVE 1,1985
WOODLANDS AVE 4,1996
WOODLANDS AVE 9,1996
WOODLANDS ST 11,1986
WOODLANDS ST 13,1990
WOODLANDS ST 31,1993
WOODLANDS ST 32,1986
WOODLANDS ST 41,1995
WOODLANDS ST 81,1989
WOODLANDS ST 82,1994
WOODLANDS ST 83,1993
YISHUN AVE 11,1988
YISHUN AVE 2,1986
YISHUN AVE 3,1985
YISHUN AVE 4,1987
YISHUN AVE 5,1978
YISHUN AVE 6,1987
YISHUN AVE 7,1988
YISHUN AVE 9,1985
YISHUN CTRL,1988
YISHUN CTRL 1,1993
YISHUN RING RD,1982
YISHUN ST 11,1984
YISHUN ST 21,1985
YISHUN ST 22,1985
YISHUN ST 61,1987
YISHUN ST 71,1985
YISHUN ST 72,1984
YISHUN ST 81,1988
JLN RUMAH TINGGI,1984
LENGKOK BAHRU,1986
SILAT AVE,1982
CASHEW RD,1988
BAIN ST,1980
NEW MKT RD,1983
SELEGIE RD,1974
CHOA CHU KANG LOOP,1993
C'WEALTH AVE WEST,1978
CASSIA CRES,1981
OLD AIRPORT RD,1969
UPP SERANGOON RD,1992
JURONG WEST ST 93,1989
YUNG HO RD,1991
YUNG PING RD,1996
CAMBRIDGE RD,1982
DORSET RD,1976
JLN MA'MOR,1972
OWEN RD,1979
WHAMPOA STH,1974
C'WEALTH AVE,1970
MARGARET DR,1975
QUEEN'S CL,1973
SERANGOON CTRL DR,1988
MARSILING CRES,1982
WOODLANDS AVE 3,1988
WOODLANDS CTR RD,1981
JLN DAMAI,1996
INDUS RD,1973
TIONG BAHRU RD,1973
FARRER RD,1974
BUFFALO RD,1982
UPP CROSS ST,1975
WATERLOO ST,1978
CLEMENTI ST 14,1984
JLN DUA,1969
JOO CHIAT RD,1985
PIPIT RD,1985
YUNG LOH RD,1996
BOON KENG RD,1974
NTH BRIDGE RD,1978
TESSENSOHN RD,1986
HENDERSON RD,1975
CHIN SWEE RD,1974
JLN BERSEH,1979
CHOA CHU KANG DR,1997
CHOA CHU KANG ST 54,1996
KG KAYU RD,1984
QUEENSWAY,1974
BT BATOK WEST AVE 7,1993
REDHILL LANE,1996
JURONG WEST ST 51,1986
FRENCH RD,1979
LIM LIAK ST,1973
SIMS AVE,1985
KANG CHING RD,1997
TAH CHING RD,1996
JLN DUSUN,1981
KG ARANG RD,1982
SIMEI ST 5,1997
WOODLANDS AVE 5,1996
WOODLANDS DR 50,1996
EAST COAST RD,1970
KIM PONG RD,1974
TAO CHING RD,1971
MOULMEIN RD,1972
WOODLANDS DR 40,1996
BT MERAH LANE 1,1979
KG BAHRU HILL,1979
MOH GUAN TER,1973
SMITH ST,1984
WOODLANDS DR 70,1996
KIM CHENG ST,1973
TAMPINES ST 71,1997
WOODLANDS DR 42,1997
JLN TENTERAM,1972
SERANGOON NTH AVE 3,1997
JELAPANG RD,1998
BT BATOK ST 22,1997
HOUGANG ST 91,1997
WOODLANDS AVE 6,1997
TAMPINES ST 72,1997
WOODLANDS CIRCLE,1997
CORPORATION DR,1997
LOMPANG RD,1997
WOODLANDS DR 72,1997
SENG POH RD,1973
CHOA CHU KANG ST 64,1998
BT BATOK ST 24,1997
JLN TECK WHYE,1998
WOODLANDS CRES,1997
WOODLANDS DR 60,1997
CHANGI VILLAGE RD,1980
BT BATOK ST 25,1998
HOUGANG AVE 9,1998
JURONG WEST CTRL 1,1998
WOODLANDS RING RD,1998
CHOA CHU KANG AVE 5,1999
TOH GUAN RD,1999
JURONG WEST ST 61,1998
WOODLANDS DR 14,1999
HOUGANG ST 92,1998
CHOA CHU KANG CRES,2000
CANBERRA RD,1998
SEMBAWANG CL,1999
SEMBAWANG CRES,1999
SEMBAWANG VISTA,1999
COMPASSVALE WALK,1999
RIVERVALE ST,1999
WOODLANDS DR 62,2000
SEMBAWANG DR,2001
WOODLANDS DR 52,1998
WOODLANDS DR 53,1999
RIVERVALE WALK,1999
COMPASSVALE LANE,1999
RIVERVALE DR,1999
SENJA RD,1999
JURONG WEST ST 65,2001
RIVERVALE CRES,1999
WOODLANDS DR 44,2000
COMPASSVALE DR,1999
WOODLANDS DR 16,2000
COMPASSVALE RD,2000
WOODLANDS DR 73,2000
HOUGANG ST 31,1999
JURONG WEST ST 64,2000
GEYLANG EAST AVE 2,1986
WOODLANDS DR 71,2000
YISHUN ST 20,2000
ADMIRALTY DR,2001
COMPASSVALE ST,2000
BEDOK RESERVOIR VIEW,2000
YUNG SHENG RD,2001
ADMIRALTY LINK,2001
SENGKANG EAST WAY,2001
ANG MO KIO ST 32,2001
ANG MO KIO ST 52,2002
BOON TIONG RD,2001
JURONG WEST ST 62,2001
ANCHORVALE LINK,2001
CANBERRA LINK,2001
COMPASSVALE CRES,2002
CLEMENTI ST 12,1984
MONTREAL DR,2003
WELLINGTON CIRCLE,2001
SENGKANG EAST RD,2001
JURONG WEST AVE 3,2001
ANCHORVALE LANE,2002
REDHILL RD,2005
SENJA LINK,2001
EDGEFIELD PLAINS,2003
ANCHORVALE DR,2001
SEGAR RD,2002
FARRER PK RD,2004
EDGEDALE PLAINS,2003
PUNGGOL FIELD,2003
ANCHORVALE RD,2001
CANTONMENT CL,2002
JLN MEMBINA,2003
FERNVALE LANE,2004
JURONG WEST ST 25,2002
CLEMENTI ST 11,1984
PUNGGOL FIELD WALK,2003
KLANG LANE,2003
PUNGGOL CTRL,2005
JELEBU RD,2003
BUANGKOK CRES,2003
WOODLANDS DR 75,2004
BT BATOK WEST AVE 5,2004
JELLICOE RD,2003
PUNGGOL DR,2005
JURONG WEST ST 24,2003
SEMBAWANG WAY,2002
FERNVALE RD,2005
BUANGKOK LINK,2004
FERNVALE LINK,2004
JLN TIGA,2005
YUAN CHING RD,1974
COMPASSVALE LINK,2006
LOWER DELTA RD,1970
MARINE PARADE CTRL,1978
COMPASSVALE BOW,2007
PUNGGOL RD,2007
BEDOK CTRL,2010
PUNGGOL EAST,2009
SENGKANG CTRL,2010
